tax_id,name,category,tel,fax,bank,account,terms
0125557013058,บ.โบทานี เพ็ทแคร์ จำกัด,ของใช้ ของเล่น,092-6961622,032-240950,,,เครดิต 30 วัน
0415548000752,บ.เอส พี เจ มาร์เก็ตติ้ง จำกัด,อื่นๆ,"063-9252896,081-9547661,087-8666696",,,,เครดิต 30 วัน
0745560004751,บ.ดีดี ด็อก จำกัด,อื่นๆ,081-550-5666,,,,เครดิต 30 วัน
0105556082030,บ.เคเจ. เทรดดิ้ง (ประเทศไทย) จำกัด,อ.เม็ด สุนัข แมว,"084-3427444,084-3427333",,KBANK กสิกร,033-8-92287-5,เงินสด
0107568000159,บ.เพ็ทพัล โปรดักส์ จำกัด,ของใช้ ของเล่น,036-733888,,,,เครดิต 30 วัน
0245553000244,บ.เพ็ท กัสโต จำกัด,อ.เม็ด สุนัข แมว,099-4659664,,,,เครดิต 30 วัน
0105532054273,PCG,อ.เม็ด สุนัข แมว,02-0919600,,,,เครดิต 30 วัน
0105549131209,บ.เมดิเพ็ต Pet8,อ.เม็ด สุนัข แมว,02-1034814,02-1034815,SCB ไทยพาณิชย์,233-300-3957,เครดิต 30 วัน
0103553016964,หจก.จัสมิน เด็นดูเคชั่น แอนด์ สเตชั่นเนอรี่,อ.เปียก ขนม สุนัข แมว,"095-1688285,098-214052",042-814868,,,เครดิต 30 วัน
0125543004850,บ.โอ สแควร์ ดิสทริบิวชั่น,ของใช้ ของเล่น,063-8951888,,BBL ธนาคารกรุงเทพ,103-4-44259-8,เครดิต 30 วัน
0405557000077,บ.ขอนแก่นปลาตู้,ทรายแมว,043-222384,043-222385,,,เงินสด
0105548032282,บ.โรยัล คานิน (ประเทศไทย) จำกัด,อ.เม็ด สุนัข แมว,"02-0262456,02-0262455",,,,เงินสด
0105546030070,บ.เอจี-ซายน์ จำกัด,อ.เปียก ขนม สุนัข แมว,02-1976538,02-197-6538,,,เครดิต 30 วัน
0105561005480,บ.เอเชียน เพ็ท แคร์ คอป์ปอเรชั่น,ของใช้ ของเล่น,"063-3682828,062-6642225",,,,เครดิต 30 วัน
0413560000838,หจก.นพศรี 2017,ของใช้ ของเล่น,042-292623,,,,เครดิต 60 วัน
0745554003561,บ.ทีอาร์เอฟ ฟีดมิลล์ จำกัด,อ.เม็ด สุนัข แมว,063-4886166,063-886173,,,เครดิต 30 วัน
0125553000369,บ.เอจี-ซายน์ พีเค,,02-1976538,02-1976538,,,เครดิต 30 วัน
,บ.เจบีเอฟ จำกัด,,,,,,เงินสด
0475556000596,บ.วสันต์ มาร์เก็ตติ้ง จำกัด,,081-9097290,,KBANK กสิกร,147-3-18021-5,เครดิต 30 วัน
,ซุปเปอร์เพ็ท,,,,KBANK กสิกร,047-2-12044-3,เงินสด
0105559014809,บ.พีซีเอ็น มาร์เก็ตติ้ง,,086-3006027,,,,เครดิต 30 วัน
0105533016502,บ.เอส.อาร์.ที พลาสติก จำกัด,,02-7378043-5,02-7378046,,,เครดิต 30 วัน
